Timestamp,Product,Price,Amount,Corresponding_Amount,Order_Type,Username,Status
2020/03/17 17:01:35.103526,BTC/USDT,5360.95,1.000000,5360.952503,bid,botuser,cancelled
2020/03/17 17:01:35.103526,DOGE/USDT,0.001634,1000000.000000,1634.000000,ask,botuser,cancelled
2020/03/17 17:01:40.107326,DOGE/USDT,0.001634,148007.467110,241.844201,ask,botuser,cancelled
2020/03/17 17:01:50.116610,DOGE/USDT,0.001635,1000000.000000,1635.000000,ask,botuser,cancelled
2020/03/17 17:01:50.116610,DOGE/USDT,0.001635,1000000.000000,1635.000000,ask,botuser,cancelled
2020/03/17 17:01:55.120438,BTC/USDT,5368.13,0.889047,4772.522812,bid,botuser,cancelled
2020/03/17 17:01:55.120438,BTC/USDT,5366.74,0.892763,4791.224777,bid,botuser,cancelled
2020/03/17 17:01:55.120438,DOGE/USDT,0.001635,219707.198160,359.221269,ask,botuser,cancelled
2020/03/17 17:01:55.120438,ETH/USDT,117.489,50.000000,5874.428350,bid,botuser,cancelled
2020/03/17 17:01:55.120438,ETH/USDT,117.489,50.000000,5874.428350,bid,botuser,cancelled
2020/03/17 17:02:00.124758,DOGE/USDT,0.001635,979000.280371,1600.665458,ask,botuser,cancelled
